gene_id	OTA	MCPD	TCP	Ctrl
ENSRNOG00000005195	515.191498087623	316.371892450635	255.460407811016	321.851153371474
ENSRNOG00000003975	476.704598510897	388.769141172569	190.613399602448	351.570822522745
ENSRNOG00000027503	339.556219505616	313.178792388522	344.060761773449	405.281859238379
ENSRNOG00000016660	413.173134831091	316.681649684671	176.288452526265	487.869806608312
ENSRNOG00000001239	258.637601319742	433.977774300979	239.401079259804	457.913517820647
ENSRNOG00000020660	458.506869112264	361.785051011397	226.425762241707	342.182685136741
ENSRNOG00000024309	540.979093968784	346.929157275768	126.542636297206	370.250993716219
ENSRNOG00000032134	392.178659198045	297.801983648574	403.867393870385	274.92275865283
ENSRNOG00000002701	247.312641261955	363.144061937299	369.294203208857	386.051454616721
ENSRNOG00000021097	349.685027189732	358.666220389389	320.61189704203	331.785178991903
ENSRNOG00000032885	283.477010591484	491.901421252802	269.944325749056	309.156800663666
ENSRNOG00000021125	497.812277685905	302.308701207803	235.346765161505	316.430757251232
ENSRNOG00000003253	343.602760086963	367.376549293528	292.296302130049	345.58033350597
ENSRNOG00000003881	250.614809412354	444.576814647241	195.117039660256	456.041283513133
ENSRNOG00000042903	342.08135078997	314.452975317414	391.183652423188	261.594426758288
ENSRNOG00000017780	269.412770639122	448.459441937259	170.465558020089	412.911498025137
ENSRNOG00000015667	360.81317606376	339.573703689256	210.29430656141	382.668365504169
ENSRNOG00000012073	231.788175018453	310.905443292071	388.05820392144	361.424375176302
ENSRNOG00000013000	528.125670786823	248.268948738516	266.599995880293	246.52576223931
ENSRNOG00000058249	370.047355257428	285.431795549403	342.598355201726	282.966356990156
ENSRNOG00000000201	312.134622864426	345.783825505018	142.638255509093	479.967641708311
ENSRNOG00000000571	339.928682041018	302.712721955302	316.527862028728	320.867100039351
ENSRNOG00000009364	315.671322986688	295.644529818224	343.794297401501	322.98422859204
ENSRNOG00000060293	367.542975945172	440.735598407159	55.4391111662483	399.721479389155
ENSRNOG00000018367	346.650899415724	305.798996432161	270.087062040992	337.604792443355
ENSRNOG00000057367	275.180518626226	332.318486952954	279.491739835254	371.65370884439
ENSRNOG00000015277	382.045091463363	390.31594145312	139.738032199296	345.863056665268
ENSRNOG00000000064	427.055596081677	356.779580017376	78.5205873359273	374.053257104662
