"","Ctrl","OTA","MCPD","TCP"
"ENSRNOG00000016660",9.475092432311,9.47668655199275,8.95863670410749,8.01260059318942
"ENSRNOG00000001239",9.38407902235998,8.80458685703625,9.41081314964464,8.44955750217072
"ENSRNOG00000020660",8.96601388936247,9.62626782220745,9.14962443702146,8.36989278283056
"ENSRNOG00000024309",9.07907822848653,9.864041508455,9.0894670938922,7.54102195978225
"ENSRNOG00000032134",8.65244165471745,9.40178434446025,8.87052183593213,9.19883389826174
"ENSRNOG00000002701",9.13903209710697,8.7404449522166,9.15500440479338,9.07042924150196
"ENSRNOG00000021097",8.92177448358384,9.23712590620819,9.13720142111301,8.86773871070277
"ENSRNOG00000032885",8.82053300206452,8.93601715298698,9.59079372547269,8.62135357754611
"ENSRNOG00000021125",8.85385857176924,9.7444831131642,8.89204970497382,8.42513440477524
"ENSRNOG00000003253",8.98018104732868,9.21194160032388,9.17163231716008,8.7352617697478
"ENSRNOG00000003881",9.37819554990805,8.75944399263719,9.4454693488917,8.15734412262442
"ENSRNOG00000042903",8.5813085984119,9.20557269260155,8.94851089835194,9.15304299702287
"ENSRNOG00000017780",9.23555971767684,8.86307629489519,9.4579590776199,7.96472943270641
"ENSRNOG00000015667",9.1264031353202,9.28209521233192,9.05872708531857,8.2642925200517
"ENSRNOG00000012073",9.04446868567446,8.64761032079248,8.93224491777376,9.14153271610119
"ENSRNOG00000013000",8.49642281606936,9.82946576110892,8.60996164907918,8.60350971662965
"ENSRNOG00000058249",8.69373249594264,9.31837530949508,8.80972513950005,8.96281954695483
"ENSRNOG00000000201",9.4516359781583,9.07412217706803,9.08472335228854,7.71106957489794
"ENSRNOG00000000571",8.87381206188047,9.19651290563358,8.89396404888908,8.84936574200659
"ENSRNOG00000009364",8.88323793647699,9.0902847931773,8.8601012047345,8.96781601543691
"ENSRNOG00000060293",9.18896498975395,9.30862569074686,9.43300550641194,6.38059898269054
"ENSRNOG00000018367",8.94670277216619,9.22461771325438,8.90850431549837,8.62211026622037
"ENSRNOG00000057367",9.08450267495129,8.89343673823452,9.02775046252737,8.67111255894475
"ENSRNOG00000015277",8.98135367072976,9.36419014468162,9.25856308854673,7.68187258205057
"ENSRNOG00000000064",9.09373495337701,9.52416162268514,9.12963424148119,6.86703286866438
"ENSRNOG00000052945",9.1265507823048,8.63046488191724,9.19124723413915,8.49703781262303
"ENSRNOG00000008569",8.84698272113341,9.10183605781894,8.87960029012556,8.75310942536836
"ENSRNOG00000007949",9.68728903110453,7.94006813196211,9.37922786797588,7.1618544194473
"ENSRNOG00000013520",9.13625709720728,7.47597274839945,9.12670286295078,9.12418326504514
"ENSRNOG00000003626",8.90148460005368,9.46848158882788,8.90587450390272,8.06773030351913
"ENSRNOG00000001980",7.3042025330829,7.43854003833238,8.20474997108207,10.2349935702546
"ENSRNOG00000012457",8.71812047928112,8.9952129244723,8.99774978303405,8.83851648962661
"ENSRNOG00000005223",9.57414813117727,7.45523898544839,9.19988098511232,8.34083495897496
"ENSRNOG00000004214",8.86566467808646,8.94751268085384,8.50862788321949,9.12137425154908
"ENSRNOG00000029549",9.06853699629882,8.83943601324459,8.98970686367228,8.57998739346746
"ENSRNOG00000046630",8.27652047999515,8.40112755092925,8.58730971601682,9.68600377698138
"ENSRNOG00000018584",8.90349908857144,9.30837272909174,8.84553383140906,8.29741354269856
"ENSRNOG00000036689",8.88412896119518,8.89788531891674,8.70621302662036,8.93950396742384
"ENSRNOG00000022980",8.81194762178404,9.11552581178745,8.83126048234236,8.65684457831249
"ENSRNOG00000002721",8.98981958290903,9.33631376303247,8.96219393654996,7.72410428649152
"ENSRNOG00000016253",9.04983080967304,7.34106228632873,9.09217185453598,9.10672722930681
"ENSRNOG00000061237",9.01659589362603,8.29686347328451,9.05777925636485,8.8007618752895
"ENSRNOG00000007967",8.71928522798072,8.95471170826866,8.91649592369379,8.73003119915281
"ENSRNOG00000040120",9.0252128126381,8.54426077930433,9.12504222002321,8.46680826687031
"ENSRNOG00000017133",8.93935787444503,8.44554678380549,8.94218368956263,8.85132842523468
"ENSRNOG00000010830",8.52012850851798,9.26120683553957,8.51080405772911,8.90148012258012
"ENSRNOG00000000304",8.81801895866972,8.0355517273025,8.61199026820183,9.36925669427284
"ENSRNOG00000004245",8.87231379643057,9.09454294975991,9.0790476427105,8.04934810758734
"ENSRNOG00000014743",9.04760989881676,8.72995143980607,9.21780446072402,7.92952846814194
"ENSRNOG00000043866",8.67872014566026,8.82594658397943,8.05555792024453,9.32554367865143
"ENSRNOG00000014214",8.92966011806446,9.39892497113762,8.57975174744454,8.02691762586463
"ENSRNOG00000010887",9.13490787082997,8.46711682810175,9.01660080989148,8.37131377428267
"ENSRNOG00000026616",8.29465194552435,9.18253388855765,8.62896666255548,8.95532949645711
"ENSRNOG00000000729",8.95341491677216,7.76357739819268,8.91485307725257,9.05971842852654
"ENSRNOG00000050585",8.5929319309276,8.93268256193679,8.7712273924549,8.83267814557641
"ENSRNOG00000026716",8.54295786835832,8.62584446176299,8.38024108526158,9.31057425709856
"ENSRNOG00000009629",8.96588063755338,8.63585402331375,8.65705173759412,8.77903742037094
"ENSRNOG00000009313",8.9487506422902,8.70863870415105,8.75370460092707,8.62667510302801
"ENSRNOG00000014700",9.00674653218718,8.06794548335018,9.13104538165821,8.54182474946621
"ENSRNOG00000003520",8.57845384190946,9.2240338388572,8.56606213980947,8.61575187682499
"ENSRNOG00000027271",8.37863859931027,8.77036669467761,8.37957069108965,9.27171137729538
"ENSRNOG00000017235",8.94672856860512,8.65678419195388,8.83464839467269,8.51542585576219
"ENSRNOG00000052025",8.81468957830689,9.22869320515671,8.49877470500467,8.36388679563185
"ENSRNOG00000053790",8.60395924608687,8.67703418571024,8.33880500378608,9.18513724388389
"ENSRNOG00000003201",8.5921368320749,8.96336324179059,8.47258232239879,8.88628309189283
